cod_venda,cod_cliente,cod_produto,data_venda,qtd_vendida,valor_imposto
1,218,195,06-09-2022,8,18.25
2,278,191,01-04-2023,74,34.13
3,285,149,14-03-2023,42,51.72
4,274,193,07-05-2022,25,54.55
5,231,193,20-01-2023,75,18.1
6,238,117,29-09-2022,69,33.78
7,222,148,05-10-2022,56,58.08
8,289,133,15-08-2022,44,50.47
9,238,127,21-04-2022,88,31.31
10,237,188,09-02-2023,85,25.62
11,254,154,31-01-2023,20,48.64
12,283,199,09-01-2023,51,49.14
13,274,121,28-01-2023,58,53.07
14,293,101,23-06-2023,19,25.78
15,236,188,06-01-2023,62,18.22
16,259,119,20-07-2022,24,55.35
17,205,165,04-12-2022,6,28.21
18,293,125,17-07-2023,5,21.35
19,259,199,15-09-2022,10,36.33
20,298,186,08-10-2022,71,47.2
21,250,190,17-02-2022,77,51.69
22,261,187,15-02-2023,72,34.01
23,266,119,28-04-2022,41,21.76
24,230,157,11-12-2022,22,35.97
25,240,107,03-07-2023,14,44.05
26,215,126,18-04-2023,24,22.96
27,300,114,27-05-2022,44,46.48
28,260,163,04-12-2022,80,50.8
29,249,180,05-03-2022,92,22.48
30,269,128,07-10-2022,51,30.27
31,228,191,13-10-2022,62,19.2
32,202,201,25-04-2022,18,52.23
33,275,197,17-06-2022,9,15.94
34,246,193,25-03-2023,92,29.91
35,220,109,15-11-2022,49,34.38
36,245,130,24-12-2022,48,45.03
37,278,168,19-04-2023,8,33.47
38,286,200,22-07-2022,78,30.56
39,292,177,02-08-2022,59,24.58
40,202,165,24-09-2022,100,50.79
41,230,134,08-02-2023,84,28.45
42,281,121,16-12-2021,86,30.77
43,273,149,11-11-2022,84,37.97
44,256,125,24-04-2023,1,42.3
45,211,112,08-03-2022,98,19.31
46,205,196,13-01-2023,70,53.39
47,245,161,19-09-2022,29,58.9
48,291,183,01-03-2023,80,38.88
49,227,200,06-04-2022,9,49.99
50,236,158,18-02-2022,29,32.77
51,265,164,21-09-2022,79,37.41
52,277,113,04-04-2022,45,26.93
53,220,133,21-05-2023,76,30.4
54,286,181,28-04-2022,27,41.77
55,254,168,10-05-2022,28,49.05
56,269,153,01-02-2022,71,30.98
57,246,147,15-06-2022,66,32.55
58,278,165,20-03-2023,57,19.95
59,228,121,15-07-2023,94,21.91
60,202,148,06-07-2023,58,49.29
61,242,197,21-12-2021,53,19.34
62,278,114,14-03-2023,6,51.46
63,292,163,03-04-2023,72,50.29
64,268,155,13-02-2023,32,24.69
65,239,122,01-06-2023,48,23.64
66,274,105,24-02-2023,12,31.61
67,263,174,16-01-2022,95,58.94
68,243,167,21-12-2022,21,47.84
69,257,149,07-05-2022,57,54.91
70,261,161,23-03-2023,80,53.01
71,226,135,07-02-2022,92,24.03
72,231,173,14-11-2022,4,53.03
73,224,158,16-04-2023,0,18.32
74,227,156,06-02-2022,80,22.5
75,236,194,28-02-2023,63,17.73
76,260,153,17-09-2022,59,54.38
77,201,111,12-12-2022,25,43.3
78,281,129,25-03-2022,7,35.31
79,234,112,15-12-2022,24,37.03
80,218,161,19-03-2023,81,48.54
81,272,164,23-01-2022,81,22.87
82,222,173,10-06-2023,99,42.7
83,271,141,22-03-2022,54,26.92
84,277,159,26-04-2022,60,21.05
85,295,185,17-07-2023,75,17.94
86,225,135,21-05-2023,64,55.07
87,289,154,07-04-2022,4,40.84
88,223,194,07-11-2022,8,39.2
89,295,111,03-04-2022,83,42.2
90,244,168,26-07-2022,84,51.15
91,251,148,25-02-2022,88,35.73
92,221,122,08-01-2022,34,44.85
93,297,151,02-12-2021,41,33.63
94,272,182,30-04-2023,21,35.41
95,286,137,16-04-2022,44,41.26
96,205,117,18-10-2022,1,49.23
97,210,152,15-08-2022,60,52.15
98,224,149,17-04-2023,33,36.37
99,238,146,28-02-2022,24,43.69
100,294,136,30-12-2021,61,40.26
101,296,175,20-06-2022,84,15.73
102,213,161,08-03-2023,49,30.04
103,260,115,29-06-2022,45,45.32
104,202,169,11-09-2022,4,48.34
105,254,176,05-06-2022,46,36.73
106,296,115,26-12-2022,90,36.76
107,287,151,29-06-2023,78,25.52
108,208,181,24-12-2021,32,29.11
109,214,151,27-12-2022,10,39.85
110,281,163,12-04-2023,49,31.38
111,245,196,26-09-2022,12,58.3
112,269,167,09-05-2022,58,54.31
113,297,127,11-02-2022,19,27.32
114,272,143,27-06-2022,99,40.04
115,299,170,02-06-2023,49,42.4
116,217,160,06-09-2022,25,46.92
117,292,135,30-11-2022,91,31.78
118,298,193,02-05-2023,36,57.88
119,276,121,14-07-2022,27,27.35
120,201,129,03-05-2022,51,36.63
121,287,120,14-12-2022,42,42.62
122,254,104,27-01-2023,29,27.51
123,260,184,25-02-2023,28,40.13
124,293,150,08-02-2023,61,33.29
125,253,186,10-01-2022,97,33.51
126,294,187,05-02-2023,65,16.65
127,270,185,09-07-2023,74,49.73
128,253,105,26-11-2022,39,24.32
129,266,163,22-05-2022,40,50.53
130,288,113,26-08-2022,54,31.38
131,296,198,23-04-2023,91,18.06
132,215,176,03-09-2022,75,47.27
133,271,128,11-10-2022,26,30.56
134,267,152,01-12-2022,13,38.35
135,287,123,28-03-2022,23,42.18
136,231,159,06-04-2023,98,33.3
137,247,132,16-04-2022,54,54.24
138,203,189,16-02-2022,10,34.73
139,271,112,01-07-2022,81,19.77
140,243,139,21-05-2022,94,49.64
141,271,182,11-10-2022,46,20.79
142,202,198,21-01-2023,61,44.33
143,261,154,17-10-2022,87,24.8
144,285,137,29-01-2023,46,42.42
145,275,109,05-11-2022,16,32.74
146,299,112,22-05-2023,40,48.91
147,259,181,17-05-2022,96,38.16
148,202,151,29-07-2023,76,48.88
149,254,142,10-02-2023,33,23.42
150,277,176,07-04-2023,50,16.98
151,263,187,10-05-2023,85,59.32
152,286,179,31-07-2022,32,25.55
153,280,158,23-06-2023,21,28.25
154,269,127,29-03-2023,86,53.63
155,289,137,01-01-2022,95,56.25
156,254,168,15-06-2022,87,46.06
157,253,139,27-06-2022,92,57.71
158,243,111,18-12-2022,3,38.65
159,265,108,13-02-2023,33,28.8
160,256,174,15-09-2022,78,24.08
161,229,163,06-06-2022,48,38.09
162,297,127,14-06-2023,20,19.87
163,214,104,11-07-2022,80,57.85
164,266,155,21-12-2022,14,51.96
165,290,159,04-05-2023,87,17.59
166,260,143,09-04-2023,87,31.42
167,269,126,06-06-2023,81,27.0
168,279,158,02-07-2023,90,24.31
169,248,190,23-04-2023,58,49.46
170,224,144,06-09-2022,87,24.13
171,231,163,26-07-2022,26,40.83
172,272,172,07-04-2023,98,32.4
173,221,117,28-05-2023,7,29.74
174,260,171,12-07-2022,74,44.0
175,257,197,21-03-2022,94,38.23
176,295,145,19-07-2022,31,55.31
177,288,119,02-02-2023,61,58.8
178,257,168,28-03-2022,100,22.26
179,247,162,12-06-2023,25,37.35
180,285,121,20-02-2022,99,53.11
181,228,176,31-03-2022,3,39.06
182,261,139,07-08-2022,77,47.68
183,296,164,27-03-2022,35,58.92
184,233,162,16-09-2022,40,32.59
185,217,201,07-05-2022,21,37.75
186,204,180,14-05-2022,37,59.46
187,228,127,22-11-2022,81,49.26
188,299,151,15-03-2023,9,30.04
189,271,113,30-08-2022,8,51.93
190,269,155,11-05-2023,20,58.47
191,223,173,01-04-2022,82,17.92
192,231,185,13-03-2023,100,35.87
193,256,142,16-04-2023,56,58.44
194,209,147,04-12-2021,35,27.93
195,259,142,25-02-2023,41,17.46
196,292,105,04-04-2023,57,28.0
197,290,191,14-08-2022,6,56.44
198,252,185,02-03-2022,53,34.09
199,209,107,28-01-2022,93,27.95
200,248,192,09-08-2022,74,31.62
201,282,106,17-07-2022,90,32.47
202,267,162,31-03-2023,44,45.33
203,243,132,25-09-2022,29,55.28
204,245,129,15-07-2022,12,59.87
205,279,200,10-05-2023,49,31.16
206,254,119,11-07-2023,21,41.88
207,225,194,06-03-2022,76,32.77
208,207,198,21-04-2022,34,22.37
209,283,113,31-01-2022,28,28.83
210,260,156,29-11-2022,83,46.18
211,236,131,09-04-2023,35,33.18
212,300,113,13-11-2022,71,23.02
213,243,163,20-01-2022,82,39.54
214,287,183,30-06-2022,4,31.4
215,289,111,21-05-2023,82,28.74
216,244,157,12-04-2023,11,56.76
217,230,171,05-04-2023,98,51.54
218,260,138,22-05-2023,69,18.07
219,213,183,10-09-2022,61,54.22
220,298,139,28-04-2022,68,34.32
221,211,188,31-05-2022,28,52.65
222,220,181,04-02-2022,77,28.08
223,232,145,10-08-2022,38,50.41
224,205,145,25-02-2022,61,25.69
225,211,122,08-02-2022,58,55.36
226,236,197,24-01-2022,32,25.87
227,265,193,27-02-2023,97,41.98
228,274,112,09-08-2022,70,18.8
229,227,138,08-03-2023,6,49.53
230,251,170,01-07-2022,65,51.36
231,236,105,18-07-2023,20,55.78
232,283,157,22-11-2022,92,51.01
233,205,102,06-02-2023,78,49.34
234,217,148,11-05-2022,33,35.91
235,207,191,24-02-2022,90,16.86
236,212,186,16-07-2022,59,51.55
237,236,141,26-02-2023,75,16.12
238,207,136,03-12-2021,67,30.07
239,237,157,07-06-2023,23,27.47
240,226,196,25-03-2023,96,28.4
241,262,201,10-05-2023,7,37.79
242,246,169,03-02-2023,51,17.9
243,258,176,28-11-2022,85,17.46
244,287,183,17-08-2022,34,28.57
245,206,158,05-07-2022,59,46.18
246,285,181,14-02-2022,61,34.29
247,268,174,24-09-2022,37,17.14
248,248,162,20-10-2022,46,15.18
249,225,196,04-09-2022,23,20.04
250,247,195,26-01-2023,31,42.27
251,209,183,24-03-2023,90,32.53
252,296,149,20-10-2022,50,23.02
253,209,129,16-02-2022,50,18.54
254,205,191,24-05-2022,27,24.67
255,207,109,09-07-2022,6,30.91
256,238,163,02-07-2022,77,40.3
257,266,192,16-05-2023,70,31.39
258,273,172,13-01-2022,70,34.23
259,242,182,13-12-2022,75,35.53
260,296,164,13-09-2022,77,57.76
261,245,106,03-12-2022,34,56.96
262,215,137,07-10-2022,64,16.82
263,249,134,07-12-2022,2,47.8
264,232,171,07-02-2023,70,19.97
265,256,165,11-04-2022,52,45.73
266,266,135,09-07-2023,36,48.72
267,236,105,22-08-2022,91,16.1
268,294,190,28-02-2022,67,22.29
269,300,168,08-04-2023,100,51.59
270,286,131,22-05-2022,66,48.01
271,217,160,16-12-2021,28,23.15
272,231,144,24-03-2022,25,47.29
273,209,108,27-07-2022,91,20.41
274,240,184,20-03-2023,63,52.94
275,243,116,03-03-2022,78,29.1
276,279,141,06-05-2022,68,38.92
277,230,165,15-09-2022,12,45.9
278,201,133,29-01-2023,57,22.17
279,248,152,07-06-2023,16,19.85
280,298,101,29-01-2023,12,27.04
281,274,165,23-11-2022,56,37.16
282,214,138,29-11-2022,52,40.14
283,204,151,16-06-2022,77,33.94
284,240,141,23-04-2023,57,20.68
285,257,111,11-05-2023,45,18.83
286,232,135,04-09-2022,15,55.58
287,288,105,08-01-2022,55,42.06
288,300,108,28-07-2023,31,40.06
289,227,135,16-09-2022,16,16.24
290,274,200,16-10-2022,68,25.81
291,233,166,08-06-2023,89,46.18
292,279,175,09-12-2021,13,26.53
293,295,175,23-05-2023,63,35.52
294,219,146,27-05-2023,72,49.67
295,229,125,26-07-2022,77,35.6
296,284,201,12-05-2022,100,24.83
297,205,130,19-11-2022,69,15.37
298,202,111,20-02-2022,95,28.59
299,262,169,23-05-2023,83,21.28
300,286,112,13-02-2022,19,17.99
301,254,195,21-10-2022,64,27.43
302,235,170,27-07-2022,54,19.27
303,257,121,23-10-2022,18,21.71
304,249,117,15-04-2023,91,59.63
305,220,199,26-11-2022,19,41.65
306,235,126,24-08-2022,35,42.47
307,206,111,11-01-2023,18,38.42
308,254,186,26-05-2022,99,18.08
309,219,118,23-03-2022,15,53.81
310,287,165,14-12-2022,91,58.47
311,213,179,03-08-2022,39,35.39
312,285,141,18-10-2022,98,35.29
313,284,118,05-11-2022,0,56.96
314,269,191,30-03-2022,35,37.41
315,270,171,16-02-2022,71,44.89
316,266,186,23-02-2022,79,24.16
317,286,138,17-03-2022,0,41.22
318,227,190,14-06-2022,12,29.71
319,220,161,14-08-2022,80,25.21
320,208,125,13-12-2022,24,50.31
321,209,143,15-07-2022,45,56.07
322,247,165,01-01-2022,98,42.22
323,244,114,08-04-2023,20,16.41
324,280,165,14-06-2022,58,51.28
325,210,197,21-06-2022,66,55.56
326,244,107,29-07-2023,32,35.76
327,262,171,25-06-2023,33,15.4
328,203,133,23-08-2022,25,40.39
329,241,199,02-11-2022,0,54.99
330,287,116,22-06-2023,36,20.24
331,284,181,30-04-2022,24,44.02
332,227,191,02-08-2022,80,42.21
333,215,113,22-02-2023,69,48.81
334,265,102,23-12-2022,8,17.47
335,258,169,28-04-2022,14,40.08
336,243,110,23-01-2022,19,18.7
337,241,145,31-05-2022,50,35.06
338,283,190,29-04-2022,25,54.81
339,232,120,16-11-2022,60,19.94
340,291,119,23-05-2023,77,41.36
341,248,131,12-12-2021,34,59.65
342,252,193,07-03-2023,76,18.64
343,276,101,12-11-2022,64,49.51
344,271,151,26-01-2023,75,45.93
345,269,106,03-06-2023,52,21.74
346,232,113,11-01-2023,87,57.63
347,235,101,13-07-2023,71,55.96
348,259,119,28-02-2022,41,38.04
349,211,120,08-12-2021,57,20.51
350,299,174,29-01-2022,49,47.78
351,241,144,11-06-2022,50,21.3
352,208,187,20-06-2022,21,47.95
353,261,162,07-07-2023,79,21.09
354,204,127,17-06-2023,32,39.04
355,257,112,10-03-2022,33,29.94
356,246,184,17-04-2023,38,55.39
357,245,183,02-02-2023,54,48.26
358,264,103,08-08-2022,98,38.0
359,204,182,13-04-2023,0,31.04
360,254,106,01-04-2022,46,51.86
361,250,153,05-02-2023,5,19.02
362,296,195,03-02-2022,83,51.98
363,220,184,05-04-2023,53,33.09
364,241,158,02-12-2022,45,16.71
365,291,125,17-10-2022,32,34.03
366,231,119,12-05-2023,53,22.07
367,269,113,19-06-2022,8,25.47
368,293,187,27-01-2022,77,23.11
369,281,111,18-06-2023,85,39.39
370,222,126,24-10-2022,78,47.36
371,236,138,08-09-2022,27,40.21
372,257,193,16-07-2022,43,54.23
373,300,143,26-02-2023,13,30.59
374,254,147,18-11-2022,34,32.96
375,223,147,06-06-2022,76,37.09
376,298,170,12-05-2023,59,58.62
377,261,172,04-04-2023,26,47.85
378,226,176,25-12-2021,58,36.02
379,253,133,03-02-2022,96,46.89
380,240,109,28-05-2022,67,44.58
381,262,116,06-01-2023,35,44.7
382,289,134,09-04-2022,79,56.79
383,271,170,09-04-2022,23,28.86
384,250,101,05-10-2022,16,39.9
385,296,146,17-02-2022,71,27.77
386,249,129,07-08-2022,97,55.08
387,237,179,23-01-2023,64,17.87
388,216,145,23-06-2022,46,25.58
389,251,174,14-10-2022,81,19.49
390,283,104,21-08-2022,24,44.5
391,202,187,12-08-2022,72,56.69
392,267,194,12-01-2022,32,51.23
393,246,116,17-02-2023,20,31.67
394,289,157,02-05-2023,5,54.95
395,297,188,09-05-2023,71,25.51
396,293,162,03-03-2022,4,51.81
397,249,125,23-12-2021,27,29.28
398,264,122,15-06-2022,47,27.54
399,226,169,08-06-2023,16,20.79
400,269,119,18-12-2022,88,25.5
401,210,165,03-06-2023,17,27.62
402,233,149,26-06-2022,14,54.54
403,217,179,10-09-2022,62,16.32
404,269,179,29-06-2022,43,32.77
405,241,138,20-10-2022,62,40.64
406,260,111,05-07-2023,16,17.76
407,213,191,12-09-2022,83,54.32
408,245,200,17-01-2022,100,44.98
409,259,110,02-01-2023,67,34.17
410,271,191,22-02-2023,41,46.2
411,201,146,24-07-2023,97,52.62
412,285,110,05-07-2023,39,29.82
413,279,158,14-05-2022,17,26.56
414,265,169,27-02-2022,19,40.86
415,217,151,17-08-2022,75,30.86
416,221,121,02-03-2022,43,29.96
417,219,195,06-04-2023,67,49.42
418,300,150,13-04-2023,81,26.0
419,219,168,16-11-2022,38,44.15
420,284,181,20-07-2022,2,18.88
421,251,152,06-01-2022,31,44.42
422,202,200,24-03-2023,82,55.11
423,258,108,14-02-2023,91,27.25
424,238,175,04-11-2022,91,25.47
425,238,127,31-01-2022,41,22.98
426,206,191,29-07-2022,54,57.07
427,242,174,17-06-2022,17,50.94
428,261,125,25-03-2023,45,48.35
429,209,150,31-03-2023,7,38.4
430,237,181,17-01-2022,83,22.07
431,286,125,17-09-2022,56,29.3
432,263,173,06-02-2023,3,27.68
433,250,151,24-11-2022,25,43.63
434,296,157,14-01-2023,94,23.24
435,287,149,24-10-2022,89,57.31
436,240,157,02-07-2022,80,57.36
437,277,172,06-12-2021,88,56.44
438,279,107,06-07-2022,17,45.98
439,237,186,28-04-2023,99,29.33
440,290,171,17-06-2023,52,41.58
441,273,172,30-10-2022,2,41.49
442,251,145,14-09-2022,86,35.22
443,282,155,30-03-2022,52,55.26
444,222,190,09-02-2023,35,54.58
445,271,185,30-07-2022,38,22.03
446,267,171,13-04-2022,81,15.1
447,271,172,01-07-2022,52,19.75
448,232,151,29-12-2021,24,50.31
449,244,136,29-07-2022,22,43.74
450,201,181,11-03-2022,96,28.08
451,229,139,17-07-2023,39,36.7
452,277,173,20-12-2022,7,50.5
453,297,150,08-01-2022,36,17.7
454,239,179,07-01-2022,63,48.83
455,295,106,09-11-2022,21,51.23
456,266,115,03-02-2022,52,30.33
457,230,137,13-07-2023,48,28.51
458,214,184,04-08-2022,1,59.9
459,217,189,11-06-2022,86,17.9
460,237,198,30-08-2022,77,24.31
461,265,105,24-05-2022,44,46.7
462,293,157,26-04-2023,83,33.93
463,210,119,11-06-2022,87,19.95
464,224,120,07-08-2022,47,40.91
465,272,168,11-02-2023,71,32.18
466,251,148,27-04-2023,5,52.52
467,214,200,13-02-2023,64,47.82
468,276,169,17-01-2022,0,51.45
469,235,167,04-05-2023,40,18.71
470,298,186,22-03-2023,91,47.34
471,234,134,13-01-2023,41,23.09
472,271,193,11-08-2022,64,19.85
473,272,111,22-06-2023,20,47.33
474,287,181,23-05-2022,29,33.76
475,297,143,14-09-2022,14,40.42
476,234,127,04-07-2023,15,26.25
477,271,166,18-01-2023,84,28.48
478,266,163,16-08-2022,44,35.05
479,237,148,12-05-2023,5,19.45
480,233,156,19-08-2022,39,47.07
481,222,196,17-03-2022,90,38.63
482,231,148,10-03-2023,44,41.68
483,282,102,20-08-2022,18,46.47
484,274,189,25-07-2023,30,20.97
485,213,144,09-05-2023,83,39.18
486,224,142,30-08-2022,83,30.48
487,258,102,25-02-2023,50,36.34
488,238,117,31-12-2022,99,29.39
489,281,171,24-11-2022,87,59.13
490,231,112,03-05-2023,51,47.83
491,233,169,20-05-2023,68,41.69
492,216,132,04-01-2022,76,52.21
493,249,147,18-09-2022,20,36.48
494,264,142,06-08-2022,50,56.17
495,226,155,21-12-2022,46,16.02
496,234,116,16-10-2022,60,36.31
497,256,138,17-03-2022,29,24.85
498,259,138,29-05-2022,26,56.08
499,285,145,25-01-2023,87,38.15
500,246,140,26-06-2023,23,26.01
501,226,182,29-04-2022,27,15.89
502,280,134,03-07-2023,84,26.78
503,216,146,16-02-2023,39,40.39
504,299,113,12-03-2023,69,32.01
505,242,139,08-03-2022,100,29.13
506,209,141,24-03-2023,4,22.66
507,253,143,17-03-2022,44,20.96
508,266,122,23-06-2023,15,58.89
509,226,129,26-07-2022,55,20.12
