cod_venda,cod_cliente,cod_produto,data_venda,qtd_vendida,valor_imposto
1,281,139,01-03-2023,45,33.72
2,255,116,07-06-2023,16,44.63
3,265,121,12-03-2022,54,43.87
4,298,139,01-05-2023,60,57.53
5,208,189,18-05-2022,54,15.7
6,246,172,29-04-2023,96,36.9
7,234,160,23-10-2022,92,30.99
8,216,168,02-07-2023,89,52.4
9,275,193,16-03-2022,7,29.68
10,215,167,24-01-2022,6,38.24
11,299,193,14-08-2022,89,39.02
12,218,114,24-10-2022,92,23.39
13,258,112,29-07-2022,97,29.69
14,279,116,19-01-2023,6,52.79
15,211,177,17-08-2022,22,29.51
16,257,187,16-08-2022,26,19.26
17,205,132,10-02-2022,72,52.9
18,261,134,27-05-2022,94,39.09
19,289,103,06-01-2023,32,25.42
20,219,107,04-06-2023,44,47.82
21,272,113,25-08-2022,22,41.33
22,222,190,25-11-2022,86,33.83
23,229,168,05-06-2022,84,42.4
24,292,115,25-11-2022,58,41.74
25,210,192,26-08-2022,22,15.51
26,217,112,27-01-2022,17,54.89
27,292,143,25-05-2022,34,38.54
28,262,163,21-12-2022,6,25.14
29,241,171,29-04-2022,56,25.15
30,222,175,29-04-2022,87,36.58
31,266,159,09-12-2022,10,57.79
32,242,169,14-07-2022,46,25.77
33,223,156,30-07-2022,46,45.54
34,257,175,09-10-2022,61,23.91
35,264,149,13-06-2022,59,57.31
36,236,163,10-10-2022,35,19.76
37,265,187,13-02-2023,7,36.25
38,285,197,17-07-2022,38,31.61
39,221,177,27-09-2022,41,54.73
40,256,190,29-12-2022,77,27.07
41,256,134,06-12-2021,75,34.54
42,222,151,10-05-2023,48,20.2
43,279,159,04-03-2023,33,43.58
44,260,184,25-04-2023,85,26.47
45,258,143,27-05-2022,97,40.59
46,265,140,08-02-2023,97,33.99
47,225,143,07-08-2022,11,38.87
48,285,185,23-01-2023,50,49.25
49,265,165,10-01-2023,64,19.65
50,223,123,08-02-2023,100,49.71
51,215,142,04-11-2022,45,48.82
52,202,124,24-12-2021,78,16.28
53,242,172,04-12-2021,3,15.43
54,202,199,14-07-2022,64,26.36
55,206,110,02-11-2022,25,18.56
56,218,103,12-05-2023,37,20.18
57,233,171,11-12-2022,53,27.4
58,250,201,08-10-2022,66,20.82
59,237,162,02-01-2023,95,31.48
60,289,122,16-02-2022,23,53.86
61,237,125,09-07-2023,17,26.78
62,256,187,16-11-2022,62,29.48
63,267,165,20-12-2022,48,48.78
64,286,128,18-07-2022,27,33.97
65,249,114,22-09-2022,94,28.8
66,268,123,31-01-2023,89,44.02
