cod_venda,cod_cliente,cod_produto,data_venda,qtd_vendida,valor_imposto
1,230,193,20-06-2022,28,59.45
2,224,190,18-02-2023,1,26.76
3,290,138,14-11-2022,38,39.63
4,283,170,28-11-2022,35,27.93
5,290,183,23-01-2022,30,28.96
6,281,190,11-07-2023,43,32.18
7,298,126,18-02-2022,46,42.22
8,248,194,02-10-2022,14,46.2
9,298,118,22-04-2023,30,23.95
10,255,130,30-04-2022,42,24.81
11,266,118,08-02-2023,63,46.68
12,214,173,07-02-2023,92,33.14
13,215,112,01-10-2022,68,44.78
14,203,168,27-12-2022,31,55.44
15,259,182,10-06-2023,42,38.04
16,283,185,28-05-2023,81,17.81
17,234,162,07-07-2022,93,59.9
18,236,140,05-02-2023,59,35.53
19,296,141,19-07-2023,67,19.19
20,224,163,25-01-2022,26,45.77
21,217,106,28-06-2023,41,40.92
22,238,144,14-06-2023,74,24.02
23,296,144,23-11-2022,88,55.91
24,296,142,27-01-2023,24,52.91
25,223,200,09-02-2023,21,33.57
26,269,185,08-02-2023,17,58.67
27,234,125,17-04-2023,87,35.42
28,243,145,16-03-2023,15,27.91
29,218,160,02-05-2023,51,33.03
30,240,195,25-12-2022,97,53.19
31,282,144,30-06-2022,20,33.88
32,291,103,23-03-2023,81,42.65
33,229,201,08-02-2022,82,41.9
34,213,135,05-12-2022,51,56.99
35,240,177,28-01-2022,49,24.33
36,292,140,21-05-2022,3,49.8
37,282,155,16-05-2022,100,55.89
38,245,140,16-09-2022,23,56.2
39,228,190,19-03-2023,92,17.88
40,208,171,06-02-2023,4,39.75
41,273,194,14-06-2022,13,22.99
42,294,122,02-03-2023,21,53.51
43,204,171,09-07-2023,7,36.0
44,237,184,21-11-2022,59,53.18
45,213,161,01-08-2022,93,31.24
46,219,186,11-01-2022,63,25.06
47,223,118,21-07-2022,62,36.03
48,238,153,01-06-2022,100,44.65
49,233,170,13-12-2022,71,22.95
50,294,134,13-04-2023,82,56.59
51,284,133,23-03-2022,64,32.83
52,296,155,21-06-2022,25,46.76
53,224,122,23-09-2022,23,54.5
54,300,160,08-01-2022,85,52.89
55,263,172,08-05-2022,33,38.1
56,249,160,29-12-2021,94,33.23
57,300,145,22-04-2022,0,39.97
58,252,114,12-05-2022,3,30.87
59,212,193,17-08-2022,25,42.66
60,281,152,20-07-2023,19,30.6
61,257,130,06-04-2023,64,39.94
62,264,190,19-04-2022,58,38.3
63,211,119,16-01-2022,64,34.3
64,234,129,04-02-2022,12,54.96
65,290,129,08-10-2022,19,44.13
66,255,189,22-02-2022,84,41.64
67,234,153,03-05-2022,29,36.28
68,255,113,19-04-2023,44,48.81
69,251,108,19-03-2022,30,50.22
70,241,110,22-04-2022,56,17.49
71,218,143,28-01-2022,83,31.78
72,248,171,08-07-2023,75,24.27
73,278,187,24-03-2023,81,41.83
74,269,179,09-05-2022,71,20.69
75,274,104,17-09-2022,26,44.99
76,249,183,15-03-2022,74,47.66
77,250,146,11-12-2022,18,33.85
78,216,122,07-02-2022,21,25.94
