cod_venda,cod_cliente,cod_produto,data_venda,qtd_vendida,valor_imposto
1,282,186,25-08-2022,53,20.25
2,216,131,29-06-2023,11,29.67
3,227,113,15-06-2023,70,34.15
4,293,161,22-01-2022,49,56.24
5,226,133,23-07-2023,82,47.43
6,216,194,21-07-2022,85,17.05
7,243,103,23-03-2023,75,23.3
8,247,190,12-04-2023,3,18.44
9,240,121,08-03-2023,9,54.33
10,254,196,19-06-2022,18,35.88
11,291,157,05-08-2022,18,26.89
12,258,188,16-08-2022,44,28.56
13,243,108,26-11-2022,10,41.62
14,281,195,11-09-2022,73,48.62
15,299,126,21-10-2022,40,31.82
16,263,191,11-04-2023,42,24.81
17,238,149,19-12-2021,91,17.38
18,233,161,19-09-2022,27,37.92
19,235,155,29-05-2023,56,24.19
20,284,168,02-12-2022,1,47.65
21,222,146,27-06-2023,81,16.59
22,299,144,26-06-2023,9,21.54
23,210,161,05-05-2023,93,55.51
24,215,121,28-06-2022,72,31.29
25,239,133,31-12-2021,87,38.46
26,248,177,04-04-2022,6,39.16
27,296,119,10-03-2022,31,40.44
28,213,105,21-08-2022,1,30.46
29,257,133,29-12-2021,41,38.84
30,230,134,17-01-2023,83,18.02
31,245,128,05-12-2022,79,53.42
32,292,187,08-06-2022,20,37.85
33,238,110,10-01-2022,87,34.45
34,213,137,22-02-2023,62,16.33
35,207,110,17-05-2022,95,36.59
36,216,117,30-05-2022,85,23.84
37,290,108,26-09-2022,74,40.11
38,230,194,17-02-2022,91,18.4
39,250,162,22-09-2022,97,50.75
40,286,192,26-08-2022,95,47.7
41,229,188,08-11-2022,17,59.16
42,236,141,27-09-2022,31,51.69
43,271,129,19-07-2022,4,33.84
44,295,168,23-06-2022,15,24.76
45,268,186,30-12-2022,50,29.15
46,259,117,01-02-2022,74,54.48
47,232,130,10-08-2022,33,24.53
48,285,176,28-03-2022,12,55.96
49,289,112,27-05-2022,80,21.19
50,267,182,10-03-2023,11,58.16
51,257,179,18-02-2022,43,29.14
52,285,161,25-02-2022,48,43.07
53,262,158,15-05-2022,56,22.92
54,223,112,04-05-2023,46,25.62
55,288,146,19-12-2022,69,40.52
56,252,140,14-06-2023,86,17.14
57,293,201,15-03-2022,17,55.43
58,268,133,06-03-2022,29,27.04
59,230,135,29-12-2021,17,59.77
60,201,147,18-12-2021,70,48.31
61,215,156,09-05-2023,72,52.97
62,215,185,25-01-2023,51,42.96
63,277,153,11-01-2023,19,34.84
64,232,201,18-12-2021,73,58.91
65,225,190,16-01-2022,60,47.35
66,231,155,04-04-2022,74,38.24
67,231,170,26-03-2023,67,18.69
68,224,162,23-12-2022,83,25.26
69,232,153,24-12-2021,24,43.77
70,269,154,22-01-2022,8,58.56
71,280,125,28-07-2022,93,34.95
72,201,183,28-02-2022,38,39.37
73,225,127,18-03-2022,35,20.4
74,292,142,13-08-2022,65,58.57
75,285,183,26-12-2022,44,47.87
76,283,196,17-03-2023,55,19.89
77,284,188,31-12-2021,84,45.73
78,242,103,20-12-2021,69,34.33
79,238,120,22-05-2022,32,31.59
80,287,122,14-10-2022,88,58.71
81,280,181,24-01-2023,54,52.05
82,237,157,21-05-2023,20,54.32
83,271,128,04-12-2022,92,58.05
84,280,141,14-11-2022,79,42.58
85,241,101,29-12-2022,91,57.69
86,202,197,27-01-2023,22,45.69
87,238,153,04-05-2022,88,55.17
88,273,174,20-03-2023,91,40.47
89,201,114,17-11-2022,50,17.79
90,241,114,20-06-2022,65,40.87
91,213,120,04-01-2023,3,51.34
92,236,184,27-12-2022,55,24.86
93,261,136,06-01-2022,45,49.51
94,249,190,26-08-2022,17,23.33
95,216,150,28-07-2022,91,23.75
96,248,125,26-12-2022,81,40.65
97,238,125,03-09-2022,46,29.62
98,286,177,27-04-2022,27,46.79
99,288,157,31-01-2023,31,55.02
100,213,133,26-08-2022,70,29.77
101,234,119,16-12-2022,4,15.85
102,223,106,02-01-2022,92,16.64
103,205,186,30-03-2022,95,43.54
104,263,173,22-11-2022,76,33.44
105,263,144,18-10-2022,79,43.09
106,213,146,23-12-2022,37,36.69
107,240,190,16-12-2022,90,42.06
108,298,143,30-08-2022,19,55.95
109,287,137,27-03-2022,80,42.44
110,214,104,19-12-2022,45,16.8
111,284,186,05-05-2023,55,40.14
112,265,176,28-07-2023,8,21.53
113,277,196,18-03-2022,5,23.86
114,263,157,09-06-2022,25,26.31
115,243,192,24-10-2022,99,33.76
116,297,103,27-12-2022,82,29.5
117,269,159,26-02-2022,90,23.94
118,216,173,19-09-2022,85,23.25
119,248,117,26-03-2023,39,43.16
120,250,116,09-04-2022,47,26.76
121,221,118,20-12-2021,49,34.93
122,296,150,22-06-2023,0,49.37
123,255,191,01-03-2022,50,15.31
124,211,165,27-07-2023,21,44.55
125,251,159,08-12-2021,88,58.78
126,222,156,16-12-2021,69,21.52
127,293,155,07-08-2022,51,16.39
128,254,186,16-03-2022,67,29.7
129,222,170,06-05-2022,32,28.21
130,254,140,19-04-2022,57,45.28
131,260,158,03-12-2022,38,47.43
132,256,140,11-04-2022,58,47.17
133,273,125,18-04-2022,93,49.26
134,277,187,25-09-2022,16,38.66
135,283,120,20-06-2022,28,21.19
136,264,103,03-07-2022,6,23.18
137,241,112,27-10-2022,59,33.45
138,216,156,22-07-2022,42,32.79
139,269,106,08-04-2022,65,35.84
140,255,178,27-03-2023,27,38.99
141,245,124,13-12-2021,37,31.37
142,240,174,22-06-2022,67,38.53
143,286,187,06-05-2022,47,21.71
144,202,201,12-02-2022,46,15.89
145,228,161,28-12-2021,5,33.26
146,276,196,02-03-2022,92,46.27
147,233,191,23-10-2022,48,29.1
148,245,146,26-02-2023,31,23.3
149,268,157,06-07-2022,20,50.89
150,234,129,27-02-2023,20,55.55
151,227,150,19-11-2022,16,17.74
152,208,124,21-03-2023,5,34.43
153,278,186,17-06-2022,94,32.48
154,211,161,22-03-2023,92,49.8
155,279,121,13-04-2023,47,23.09
156,235,183,18-11-2022,15,52.02
157,201,161,25-01-2023,56,18.67
158,291,130,31-10-2022,37,30.18
159,213,156,26-12-2021,91,39.72
160,213,110,22-07-2023,26,32.67
161,254,201,11-05-2023,32,18.97
162,270,122,26-11-2022,35,19.72
163,215,156,22-05-2022,92,56.77
164,226,142,12-02-2023,3,32.1
165,297,180,09-11-2022,38,33.11
166,243,140,15-09-2022,4,26.81
167,285,140,04-10-2022,8,28.89
168,257,129,29-06-2023,66,38.75
169,289,186,05-05-2023,31,33.94
170,204,183,02-07-2022,95,46.68
171,209,157,12-11-2022,7,33.99
172,252,102,04-01-2022,83,33.66
173,219,107,24-06-2023,33,42.41
174,289,154,08-01-2022,77,57.92
175,283,105,19-04-2023,12,47.47
176,274,145,03-06-2022,25,30.33
177,300,103,25-04-2022,88,47.07
178,283,103,02-05-2023,19,31.93
179,274,183,22-12-2022,39,16.94
180,225,162,14-11-2022,64,47.35
181,221,103,21-12-2022,91,35.11
182,300,103,10-06-2023,60,50.94
183,247,107,07-07-2022,83,32.26
184,265,196,24-06-2022,22,23.61
185,271,132,03-07-2022,35,35.0
186,209,182,15-12-2021,74,35.36
187,274,186,05-08-2022,97,54.61
188,298,174,11-09-2022,31,51.86
189,293,194,12-02-2023,12,52.9
190,209,116,11-12-2022,31,48.42
191,225,181,21-03-2022,80,28.99
192,279,160,28-05-2023,52,35.61
193,270,192,28-05-2023,50,30.6
194,211,130,11-08-2022,38,58.72
195,296,117,26-05-2022,58,18.44
196,276,188,20-06-2022,41,56.47
197,236,118,17-03-2023,19,44.82
198,217,131,01-10-2022,68,51.16
199,233,107,30-03-2022,19,28.46
200,232,142,05-05-2023,36,48.57
201,228,146,17-10-2022,0,30.93
202,205,191,31-03-2023,55,32.81
203,234,201,13-07-2022,12,47.64
204,213,169,15-07-2023,52,55.02
205,276,168,27-03-2023,55,32.6
206,281,133,01-10-2022,89,16.07
207,204,172,07-11-2022,68,26.97
208,264,200,03-12-2022,12,30.57
209,263,185,22-06-2023,57,56.55
210,203,117,01-07-2022,12,23.52
211,246,127,13-07-2022,53,52.0
212,254,135,01-04-2022,79,26.26
213,204,137,29-04-2023,6,21.83
214,274,172,09-09-2022,54,31.53
215,254,192,29-04-2023,27,37.52
216,258,154,07-01-2023,78,35.45
217,293,178,10-02-2023,43,44.98
218,277,105,14-02-2023,46,41.07
219,226,158,26-01-2022,50,30.8
220,300,126,04-06-2023,82,24.19
221,294,180,03-08-2022,5,51.67
222,284,189,08-12-2022,15,50.09
223,284,183,20-11-2022,90,45.83
224,204,121,21-12-2021,74,23.12
225,297,124,30-10-2022,93,32.35
