cod_venda,cod_cliente,cod_produto,data_venda,qtd_vendida,valor_imposto
1,242,123,25-12-2021,11,16.68
2,237,105,10-09-2022,33,19.3
3,233,159,15-07-2023,6,28.88
4,299,171,30-09-2022,20,36.29
5,282,129,21-04-2023,26,27.63
6,291,141,10-07-2023,24,36.53
7,209,128,31-03-2022,59,49.75
8,288,173,11-03-2022,31,33.27
9,220,173,26-01-2023,52,24.18
10,230,194,18-03-2022,45,28.26
11,210,158,15-12-2022,15,33.14
12,210,158,14-02-2023,82,49.23
13,280,169,30-09-2022,48,55.51
14,265,174,31-05-2023,67,35.05
15,209,140,15-02-2023,11,34.72
16,265,145,25-12-2021,74,21.99
17,277,128,24-06-2023,61,15.79
18,294,114,14-04-2022,31,17.1
19,210,110,15-12-2021,82,38.82
20,244,184,06-08-2022,21,16.49
21,236,146,11-05-2023,16,24.13
22,266,122,03-07-2023,94,54.35
23,274,158,16-03-2022,56,15.49
24,256,169,07-12-2022,88,36.16
25,251,139,18-01-2023,94,59.16
26,244,188,04-07-2022,14,38.68
27,205,102,22-09-2022,18,46.91
28,233,192,12-03-2023,28,30.09
29,218,115,09-01-2022,16,46.49
30,236,168,22-12-2021,48,22.46
31,273,101,28-02-2022,57,15.71
32,222,181,19-04-2022,53,28.39
33,247,176,22-04-2022,61,24.76
34,259,123,10-03-2022,54,42.93
35,240,199,18-05-2023,64,41.44
36,237,164,01-02-2023,76,32.94
37,275,184,22-02-2023,12,35.28
38,221,122,25-02-2023,19,53.14
39,293,149,16-05-2023,31,36.69
40,246,186,16-12-2021,5,49.47
41,252,184,26-08-2022,25,29.73
42,234,121,21-12-2021,13,34.09
43,234,194,22-01-2022,27,32.61
44,229,134,10-08-2022,7,29.01
45,230,182,29-03-2022,97,22.8
46,244,105,24-06-2022,86,25.34
47,234,197,28-07-2022,46,30.91
48,296,151,17-07-2022,16,47.48
49,237,120,26-06-2022,100,43.85
50,267,127,17-04-2023,98,38.84
51,218,140,04-04-2023,81,44.6
52,241,183,03-08-2022,68,21.01
53,212,168,21-01-2023,43,48.01
54,264,101,31-01-2023,8,45.3
55,204,199,26-08-2022,85,30.87
56,275,153,23-01-2022,2,40.62
57,278,157,02-07-2022,46,16.08
58,289,139,29-05-2023,2,24.22
59,251,177,26-10-2022,44,25.76
60,272,173,10-12-2022,33,44.46
61,236,136,19-02-2022,55,52.28
62,287,190,15-05-2023,0,32.94
63,267,168,15-03-2022,32,27.11
64,228,197,27-04-2022,7,37.41
65,238,163,02-06-2023,6,47.06
66,280,132,20-06-2022,8,45.77
67,218,127,09-05-2023,36,20.54
68,269,153,05-06-2022,63,28.32
69,254,145,08-09-2022,43,21.48
70,249,165,21-10-2022,15,42.07
71,271,148,19-02-2023,86,47.85
72,213,103,18-03-2023,4,30.4
73,205,187,17-03-2022,16,35.89
74,279,168,28-06-2022,95,58.87
75,234,126,06-03-2023,44,56.03
76,236,148,27-04-2022,57,28.71
