cod_venda,cod_cliente,cod_produto,data_venda,qtd_vendida,valor_imposto
1,247,115,07-07-2023,2,46.67
2,213,137,28-02-2022,46,33.5
3,220,131,09-12-2022,58,39.05
4,279,143,14-06-2022,21,18.81
5,251,157,28-02-2023,38,46.21
6,250,186,19-07-2023,57,39.5
7,237,136,30-12-2022,57,19.67
8,274,119,09-04-2023,17,51.3
9,220,178,17-12-2021,28,48.71
10,214,177,12-05-2022,79,18.08
11,217,177,27-08-2022,0,32.31
12,298,198,05-02-2022,14,46.88
13,214,112,03-05-2022,97,29.19
14,288,111,02-09-2022,89,22.74
15,283,121,07-09-2022,65,19.5
16,276,144,06-12-2022,70,39.38
17,292,112,22-02-2023,58,53.73
18,266,164,12-06-2023,58,27.5
19,203,108,14-04-2023,44,27.07
20,296,172,03-06-2022,40,54.56
21,285,164,14-03-2022,94,42.73
22,253,193,11-01-2022,29,42.27
23,219,158,28-12-2022,12,24.18
24,283,118,27-05-2022,32,31.96
25,237,123,24-07-2023,88,35.08
26,236,123,07-05-2023,91,34.43
27,277,184,19-05-2022,21,54.44
28,247,196,13-02-2022,91,24.49
29,225,162,28-10-2022,61,29.04
30,255,153,27-12-2021,98,36.69
31,279,157,16-07-2022,90,51.45
32,264,161,19-05-2023,6,35.24
33,213,106,09-10-2022,89,37.05
34,241,126,04-01-2023,9,50.19
35,201,180,02-01-2023,30,48.42
36,211,195,04-06-2022,21,33.4
37,255,161,15-02-2023,30,27.97
38,263,165,27-03-2023,45,34.68
39,213,172,19-01-2023,74,24.59
40,214,118,17-12-2021,46,31.04
41,273,161,29-01-2022,29,17.77
42,284,163,30-03-2022,43,28.69
43,286,150,17-04-2022,52,57.8
44,255,119,16-12-2022,75,16.42
45,234,128,18-04-2023,98,39.24
46,225,199,10-06-2022,24,22.05
47,274,106,28-12-2022,57,23.93
48,234,192,30-11-2022,83,22.64
49,220,185,21-10-2022,45,16.33
50,293,147,19-12-2021,58,55.42
51,261,159,07-12-2021,7,37.66
52,228,105,02-12-2021,54,38.93
53,255,197,30-01-2022,10,18.41
54,242,118,20-12-2021,46,25.57
55,288,133,06-05-2023,45,18.41
56,238,176,06-02-2022,89,47.87
57,210,173,20-10-2022,75,58.82
58,268,139,08-12-2022,43,51.68
59,287,178,22-03-2022,15,33.01
60,270,112,26-08-2022,36,55.22
61,208,187,13-12-2022,88,35.69
62,282,197,24-10-2022,36,56.56
63,238,171,23-01-2022,27,45.32
64,213,107,29-03-2023,11,16.69
65,247,182,12-05-2022,46,45.03
66,261,112,05-05-2022,98,48.78
67,236,128,07-10-2022,33,33.53
68,201,151,10-08-2022,95,15.2
69,287,102,09-01-2023,100,34.47
70,275,160,08-02-2022,22,25.94
71,221,114,16-10-2022,91,22.83
72,266,197,18-07-2022,10,19.86
73,296,185,07-02-2023,86,20.35
74,291,181,23-02-2022,56,46.13
75,231,151,01-12-2022,44,45.31
76,249,103,01-12-2022,95,45.05
77,237,118,21-05-2022,29,44.56
78,222,160,19-08-2022,38,41.81
79,250,197,29-09-2022,30,51.7
80,297,190,22-03-2023,44,49.82
81,261,140,19-04-2023,32,37.33
82,275,200,06-07-2023,34,31.89
83,246,140,04-08-2022,63,24.74
84,272,201,05-05-2022,94,33.65
85,286,179,20-11-2022,22,35.45
86,201,144,06-07-2023,2,27.27
87,279,111,30-10-2022,38,22.44
88,268,166,25-06-2023,71,57.85
89,274,155,19-04-2023,95,28.89
90,292,188,21-07-2023,49,28.34
91,221,180,12-12-2022,6,34.78
92,277,175,07-01-2023,72,36.34
93,280,104,15-07-2023,50,22.4
94,284,123,06-10-2022,71,30.06
95,292,132,15-02-2022,64,58.08
96,286,172,04-01-2023,42,30.47
